name,role,batting_defense,batting_rotation,batting_boundary,batting_power,batting_spin,batting_fast,batting_swing,batting_bounce,test_ave,odi_ave,t20_ave,test_sr,odi_sr,t20_sr,bowling_type,bowling_bounce,bowling_seam,bowling_swing,bowling_pace,bowling_control,bowling_turn,bowling_variations,age,fitness,fatigue,strain,form,followers,marketability,injury_status,prevmatch
Romario Shepard,All-rounder,60,65,75,80,60,65,55,65,23.5,28.5,20.5,60,85.5,180.5,Pace,55,65,60,130,75,0,65,24,85,30,8,80,1200000,75,Healthy,11/03/2025
Shai Hope,Batsman,75,80,75,70,80,70,65,70,0,48.5,25.5,0,85.5,130.5,None,0,0,0,0,0,0,0,31,80,35,8,65,950000,65,Healthy,09/03/2025
Donovan Ferreira,Batsman,60,65,80,85,70,65,60,65,0,0,25.5,0,0,150.5,None,0,0,0,0,0,0,0,26,85,30,5,75,380000,65,Healthy,10/03/2025
Priyansh Arya,Batsman,60,65,75,80,70,65,60,65,0,0,15.5,0,0,170.5,None,0,0,0,0,0,0,0,22,85,25,5,65,180000,55,Healthy,08/03/2025
Azmatullah Omarzai,All-rounder,60,65,75,80,70,65,60,65,0,30.5,22.5,0,90.5,140.5,Pace,65,70,65,135,70,0,60,24,85,30,8,75,480000,65,Healthy,09/03/2025
Shamar Joseph,Bowler,40,45,50,55,40,45,35,40,0,12.5,10.5,0,65.5,115.5,Pace,75,75,70,145,70,0,65,25,85,30,8,80,580000,70,Healthy,10/03/2025
Aryan Juyal,Keeper,60,65,70,75,70,65,60,65,0,0,18.5,0,0,135.5,None,0,0,0,0,0,0,0,23,85,25,5,65,180000,55,Healthy,07/03/2025
Nishant Sindhu,All-rounder,60,65,70,65,70,60,55,60,0,0,15.5,0,0,125.5,Finger,55,0,0,82,70,70,60,23,85,25,5,65,180000,50,Healthy,06/03/2025
Rashid Khan,Bowler,50,55,65,70,65,50,45,50,20.5,25.5,18.5,60,85.5,150.5,Wrist,65,0,0,90,90,90,90,26,82,40,12,85,12000000,90,Healthy,12/03/2025
Shubman Gill,Batsman,85,80,80,75,85,80,75,80,45.5,55.5,32.5,65,100.5,145.5,None,0,0,0,0,0,0,0,25,88,30,5,85,8500000,85,Healthy,11/03/2025
Mohammed Shami,Bowler,35,40,45,40,35,40,30,35,15.5,25.5,12.5,45,65.5,120.5,Pace,75,85,85,140,85,0,75,35,65,45,20,60,5800000,80,Injured,15/02/2025
Mohammed Siraj,Bowler,35,40,45,40,35,40,30,35,20.5,25.5,15.5,50,70.5,125.5,Pace,70,80,80,140,80,0,70,31,85,35,10,75,3800000,75,Healthy,12/03/2025
Moshin Khan,Bowler,35,40,45,40,35,40,30,35,20.5,25.5,15.5,50,70.5,125.5,Pace,70,80,80,140,80,0,70,31,85,35,10,75,3800000,75,Healthy,12/03/2025
Rahul Tewatia,All-Rounder,60,65,80,85,75,60,55,60,0,0,30.5,0,0,165.5,Wrist,50,0,0,80,65,70,65,30,80,35,10,70,950000,65,Healthy,09/03/2025
Harry Brook,Batsman,75,80,85,80,75,70,65,70,38.5,40.5,28.5,70,95.5,175.5,None,0,0,0,0,0,0,0,26,85,30,8,80,1800000,75,Healthy,11/03/2025
Dhruv Jurel,Keeper,65,70,75,80,70,65,60,65,0,0,27.5,0,0,180.5,None,0,0,0,0,0,0,0,24,85,25,5,75,480000,65,Healthy,10/03/2025
Glenn Maxwell,All-Rounder,75,70,90,95,75,70,65,70,28.5,35.5,28.5,70,125.5,195.5,Finger,55,0,0,85,75,75,70,36,75,40,12,75,5800000,85,Healthy,12/03/2025
Adam Zampa,Bowler,35,40,45,40,50,35,30,35,25.5,27.5,15.5,50,70.5,125.5,Wrist,55,0,0,82,85,85,80,33,80,35,10,80,1800000,75,Healthy,11/03/2025
Mayank Yadav,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,75,70,65,150,65,0,60,22,85,25,8,85,850000,70,Healthy,10/03/2025
Simarjeet Singh,Bowler,40,45,50,55,40,45,35,40,0,0,12.5,0,0,120.5,Pace,70,75,70,138,70,0,65,26,82,30,8,65,280000,55,Healthy,08/03/2025
Mahipal Lomror,Batsman,60,65,75,80,70,60,55,60,0,0,22.5,0,0,185.5,Finger,50,0,0,80,65,70,60,30,80,35,8,65,380000,60,Healthy,09/03/2025
Vishnu Vinod,Keeper,60,65,75,80,70,65,60,65,0,0,20.5,0,0,140.5,None,0,0,0,0,0,0,0,31,80,35,8,65,220000,55,Healthy,07/03/2025
Ben Dwarshuis,All-rounder,65,70,70,65,65,70,65,60,25,30,25,55,85,140,Pace,70,65,70,130,75,0,70,26,80,20,0,65,3000000,80,Healthy,2025-02-17
Faf du Plessis,Batsman,80,85,80,75,58,75,70,75,40.5,47.5,27.5,65,95.5,172.5,None,0,0,0,0,0,0,0,40,75,40,15,75,3800000,80,Healthy,11/03/2025
Ajinkya Rahane,Batsman,80,85,75,70,80,75,70,75,38.5,35.5,25.5,60,80.5,135.5,None,0,0,0,0,0,0,0,36,75,35,12,65,1800000,70,Healthy,09/03/2025
Shardul Thakur,All-rounder,50,55,70,75,50,55,45,50,20.5,24.5,15.5,60,85.5,135.5,Pace,65,70,70,135,70,0,65,32,80,35,12,70,1200000,70,Healthy,10/03/2025
Daryl Mitchell,Batsman,70,75,80,85,75,70,65,70,45.5,42.5,28.5,65,95.5,145.5,Pace,60,65,60,130,70,0,60,33,80,35,10,80,1500000,75,Healthy,12/03/2025
Josh Inglis,Keeper,65,70,80,85,75,70,65,70,0,35.5,28.5,0,95.5,170.5,None,0,0,0,0,0,0,0,29,85,30,8,75,850000,70,Healthy,11/03/2025
Tushar Deshpande,Bowler,35,40,45,50,35,40,30,35,0,0,12.5,0,0,120.5,Pace,65,70,65,138,75,0,65,29,80,35,10,75,380000,60,Healthy,09/03/2025
Anshul Kamboj,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,65,70,65,135,65,0,60,22,85,25,5,65,180000,50,Healthy,07/03/2025
Nuwan Thushara,Bowler,35,40,45,50,35,40,30,35,0,0,12.5,0,0,125.5,Pace,65,70,75,140,70,0,70,30,80,35,10,70,280000,60,Healthy,08/03/2025
Prabhsimran Singh,Keeper,60,65,75,80,70,65,60,65,0,0,22.5,0,0,145.5,None,0,0,0,0,0,0,0,23,85,25,5,70,380000,65,Healthy,10/03/2025
Shashank Singh,Batsman,60,65,80,85,70,65,60,65,0,0,24.5,0,0,145.5,None,0,0,0,0,0,0,0,33,80,35,8,80,480000,65,Healthy,11/03/2025
Kagiso Rabada,Bowler,40,45,50,45,40,45,35,40,20.5,27.5,15.5,50,70.5,125.5,Pace,80,80,75,145,85,0,70,29,85,40,12,80,3800000,85,Healthy,12/03/2025
Pat Cummins,All-rounder,60,65,70,75,60,65,55,65,25.5,28.5,18.5,60,90.5,135.5,Pace,80,85,80,140,85,0,75,31,85,40,12,85,5800000,90,Healthy,12/03/2025
Jos Buttler,Keeper,80,85,90,85,80,75,70,75,35.5,48.5,32.5,65,105.5,155.5,None,0,0,0,0,0,0,0,34,80,40,10,85,8500000,90,Healthy,11/03/2025
Sai Sudharsan,Batsman,75,80,80,75,80,70,65,70,0,55.5,28.5,0,95.5,140.5,None,0,0,0,0,0,0,0,23,85,25,5,85,950000,75,Healthy,10/03/2025
David Warner,Batsman,75,80,85,80,80,75,70,75,48.5,45.5,30.5,70,95.5,145.5,None,0,0,0,0,0,0,0,38,75,40,15,70,8500000,85,Healthy,09/03/2025
Ishan Kishan,Keeper,70,75,85,90,75,70,65,70,0,38.5,34.5,0,95.5,170.5,None,0,0,0,0,0,0,0,26,85,30,8,75,5800000,80,Healthy,10/03/2025
Ravichandran Ashwin,All-rounder,70,75,70,65,80,65,60,65,28.5,16.5,12.5,55,75.5,120.5,Finger,60,0,0,85,90,85,80,38,75,40,15,75,6500000,85,Healthy,12/03/2025
Anrich Nortje,Bowler,30,35,40,45,30,35,25,30,0,25.5,12.5,0,65.5,120.5,Pace,80,75,70,150,75,0,65,31,80,35,15,70,1800000,75,Healthy,09/03/2025
Karun Nair,Batsman,70,75,75,70,75,65,60,65,30.5,0,20.5,60,0,135.5,None,0,0,0,0,0,0,0,32,75,30,8,60,380000,55,Healthy,07/03/2025
Yash Dhull,Batsman,70,75,75,70,75,65,60,65,0,0,20.5,0,0,135.5,None,0,0,0,0,0,0,0,22,85,25,5,65,280000,60,Healthy,08/03/2025
Nehal Wadhera,Batsman,65,70,75,80,70,65,60,65,0,0,22.5,0,0,140.5,None,0,0,0,0,0,0,0,24,85,25,5,75,380000,65,Healthy,10/03/2025
Abdul Samad,Batsman,60,65,80,85,70,65,60,65,0,0,24.5,0,0,145.5,Wrist,45,0,0,80,55,60,55,23,85,25,5,70,580000,65,Healthy,09/03/2025
Vijay Shankar,All-rounder,60,65,70,75,65,60,55,60,0,30.5,18.5,0,85.5,130.5,Pace,60,65,60,130,65,0,55,33,75,35,10,65,450000,55,Healthy,08/03/2025
Kartik Tyagi,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,70,70,75,140,65,0,65,24,80,30,10,65,280000,55,Healthy,07/03/2025
Shreyas Gopal,Bowler,45,50,55,50,55,45,40,45,0,15.5,12.5,0,65.5,120.5,Wrist,55,0,0,82,75,80,75,31,75,35,10,65,380000,55,Healthy,08/03/2025
Mayank Markande,Bowler,40,45,50,45,55,40,35,40,0,0,12.5,0,0,120.5,Wrist,55,0,0,82,75,80,75,27,80,35,8,65,280000,55,Healthy,09/03/2025
Rovman Powell,Batsman,60,65,85,95,70,65,60,65,0,30.5,25.5,0,95.5,155.5,None,0,0,0,0,0,0,0,31,80,35,8,70,850000,70,Healthy,10/03/2025
Devdutt Padikkal,Batsman,75,80,75,70,80,70,65,70,0,35.5,25.5,0,85.5,135.5,None,0,0,0,0,0,0,0,24,85,30,5,70,1200000,70,Healthy,09/03/2025
Mukesh Kumar,Bowler,40,45,50,55,40,45,35,40,0,0,12.5,0,0,120.5,Pace,70,75,70,138,75,0,65,31,80,35,10,70,380000,60,Healthy,08/03/2025
Jasprit Bumrah,Bowler,40,45,50,45,40,45,35,40,22.5,22.5,15.5,50,75.5,130.5,Pace,75,80,85,145,90,0,85,31,85,40,10,95,15000000,95,Healthy,12/03/2025
Suryakumar Yadav,Batsman,75,80,90,85,80,75,70,75,0,45.5,35.5,0,105.5,165.5,None,0,0,0,0,0,0,0,34,80,40,10,90,12000000,90,Healthy,11/03/2025
Tilak Varma,Batsman,70,75,80,85,75,70,65,70,0,0,28.5,0,0,145.5,None,0,0,0,0,0,0,0,23,85,30,5,80,1800000,75,Healthy,10/03/2025
Rohit Sharma,Batsman,80,85,85,80,85,75,70,75,46.5,48.5,30.5,65,95.5,130.5,None,0,0,0,0,0,0,0,37,75,40,15,80,45000000,95,Healthy,12/03/2025
Hardik Pandya,All-rounder,65,70,85,90,70,65,60,65,30.5,33.5,32.5,70,105.5,160.5,Pace,65,70,65,135,70,0,65,31,80,40,15,75,42000000,95,Healthy,11/03/2025
Quinton de Kock,Keeper,75,80,85,80,80,75,70,75,0,45.5,30.5,0,95.5,145.5,None,0,0,0,0,0,0,0,32,80,35,10,80,3800000,85,Healthy,10/03/2025
DDP,Batsman,80,75,65,60,75,70,75,70,37.2,32.8,22,50.1,85.6,110,None,0,0,0,0,0,0,0,34,70,35,10,55,500000,60,Healthy,2025-02-17
Vijay Shankar,All-rounder,65,70,70,75,70,65,70,65,25,30,20,55,85,130,Pace,70,65,70,130,70,50,65,31,70,35,10,60,400000,65,Healthy,2025-02-19
Abhinav Manohar,Batsman,60,65,80,85,70,65,60,65,0,0,22.5,0,0,145.5,None,0,0,0,0,0,0,0,25,82,30,5,70,280000,60,Healthy,08/03/2025
Shahrukh Khan,Batsman,60,65,80,85,70,65,60,65,0,0,22.5,0,0,145.5,None,0,0,0,0,0,0,0,25,82,30,5,70,280000,60,Healthy,08/03/2025
Maheesh Theekshana,Bowler,35,40,45,40,50,35,30,35,0,0,12.5,0,0,115.5,Finger,60,0,0,85,80,85,80,24,85,30,8,75,850000,70,Healthy,09/03/2025
Karn Sharma,Bowler,45,50,55,50,55,45,40,45,0,15.5,12.5,0,65.5,120.5,Wrist,55,0,0,82,75,80,70,37,70,40,12,65,380000,55,Healthy,08/03/2025
Deepak Chahar,Bowler,45,50,60,65,45,50,40,45,0,24.5,15.5,0,80.5,130.5,Pace,65,70,80,135,80,0,75,32,70,35,15,65,1800000,70,Healthy,09/03/2025
Sandeep Sharma,Bowler,45,50,60,65,45,50,40,45,0,24.5,15.5,0,80.5,130.5,Pace,65,70,80,135,80,0,75,32,70,35,15,65,1800000,70,Healthy,09/03/2025
Sherfane Rutherford,Batsman,60,65,80,85,70,65,60,65,0,0,25.5,0,0,150.5,None,0,0,0,0,0,0,0,25,85,30,5,70,580000,65,Healthy,10/03/2025
Mitchell Santner,All-rounder,60,65,70,65,75,60,55,60,27.5,25.5,18.5,55,85.5,130.5,Finger,60,0,0,85,85,80,75,33,80,35,10,75,1200000,70,Healthy,11/03/2025
Kamindu Mendis,All-rounder,65,70,75,70,75,65,60,65,0,30.5,22.5,0,90.5,140.5,Finger,55,0,0,82,70,75,65,25,82,30,8,75,380000,65,Healthy,09/03/2025
Arjun Tendulkar,Bowler,45,50,55,60,45,50,40,45,0,0,12.5,0,0,125.5,Pace,65,70,70,132,65,0,60,25,82,30,8,65,850000,65,Healthy,08/03/2025
Harvik Desai,Keeper,60,65,70,75,70,65,60,65,0,0,18.5,0,0,135.5,None,0,0,0,0,0,0,0,24,82,25,5,65,220000,55,Healthy,07/03/2025
Ben Ducket,Batsman,70,75,80,85,75,70,65,70,0,35.5,28.5,0,95.5,150.5,None,0,0,0,0,0,0,0,30,80,35,8,75,850000,70,Healthy,10/03/2025
Kwena Maphaka,Bowler,30,35,40,45,30,35,25,30,0,0,10.5,0,0,115.5,Pace,70,70,70,145,65,0,60,19,85,20,5,70,280000,60,Healthy,09/03/2025
Mitchell Owen,All-rounder,55,60,70,75,60,55,50,55,0,0,18.5,0,0,135.5,Pace,65,70,65,135,65,0,60,24,82,30,8,65,220000,55,Healthy,08/03/2025
Urvil Patel,Keeper,60,65,75,80,70,65,60,65,0,0,20.5,0,0,140.5,None,0,0,0,0,0,0,0,24,82,25,5,65,180000,55,Healthy,07/03/2025
